"model","iteration","corr_iter","MAF","gen"
"EGBLUP",3,0.244274379141542,0.01,"F2"
"EGBLUP",4,0.244254263336061,0.01,"F2"
"EGBLUP",5,0.24790126269943,0.01,"F2"
"EGBLUP",6,0.244734980457371,0.01,"F2"
"EGBLUP",7,0.24175434069779,0.01,"F2"
"EGBLUP",8,0.245549690177101,0.01,"F2"
"EGBLUP",9,0.244363003045978,0.01,"F2"
"EGBLUP",10,0.244150739094785,0.01,"F2"
"GB",1,0.294394502119475,0.01,"F2"
"GB",2,0.285231090580944,0.01,"F2"
"GB",3,0.29290870332775,0.01,"F2"
"GB",4,0.329855264961983,0.01,"F2"
"GB",5,0.296861298812458,0.01,"F2"
"GB",6,0.295707139304939,0.01,"F2"
"GB",7,0.272051378350252,0.01,"F2"
"GB",8,0.294815106932735,0.01,"F2"
"GB",9,0.302466841982327,0.01,"F2"
"GB",10,0.271330615057127,0.01,"F2"
"GBLUP",1,0.233294422705875,0.01,"F2"
"GBLUP",2,0.233294422705875,0.01,"F2"
"GBLUP",3,0.233294422705875,0.01,"F2"
"GBLUP",4,0.233294422705875,0.01,"F2"
"GBLUP",5,0.233294422705875,0.01,"F2"
"GBLUP",6,0.233294422705875,0.01,"F2"
"GBLUP",7,0.233294422705875,0.01,"F2"
"GBLUP",8,0.233294422705875,0.01,"F2"
"GBLUP",9,0.233294422705875,0.01,"F2"
"GBLUP",10,0.233294422705875,0.01,"F2"
"LASSO",1,0.241201781103666,0.01,"F2"
"LASSO",2,0.23767801583238,0.01,"F2"
"LASSO",3,0.238771591409493,0.01,"F2"
"LASSO",4,0.242255530943611,0.01,"F2"
"LASSO",5,0.23960140262422,0.01,"F2"
"LASSO",6,0.240102692899464,0.01,"F2"
"LASSO",7,0.240675280848799,0.01,"F2"
"LASSO",8,0.239133228446696,0.01,"F2"
"LASSO",9,0.237892570851878,0.01,"F2"
"LASSO",10,0.241856747728688,0.01,"F2"
"LR",1,0.246886017119349,0.01,"F2"
"LR",2,0.235041762324763,0.01,"F2"
"LR",3,0.252005662834354,0.01,"F2"
"LR",4,0.284941140086178,0.01,"F2"
"LR",5,0.230502345893235,0.01,"F2"
"LR",6,0.274168616846343,0.01,"F2"
"LR",7,0.248297923175477,0.01,"F2"
"LR",8,0.27386942810931,0.01,"F2"
"LR",9,0.253905093681736,0.01,"F2"
"LR",10,0.257801391673306,0.01,"F2"
"RF",1,0.242812159082669,0.01,"F2"
"RF",2,0.254285119569879,0.01,"F2"
"RF",3,0.239812339001756,0.01,"F2"
"RF",4,0.264201005209133,0.01,"F2"
"RF",5,0.247442030696229,0.01,"F2"
"RF",6,0.276608231784428,0.01,"F2"
"RF",7,0.233643069585896,0.01,"F2"
"RF",8,0.281877911209072,0.01,"F2"
"RF",9,0.252070284473925,0.01,"F2"
"RF",10,0.25805945567452,0.01,"F2"
"RKHS",1,0.247887186276778,0.01,"F2"
"RKHS",2,0.25100160127751,0.01,"F2"
"RKHS",3,0.248938941376243,0.01,"F2"
"RKHS",4,0.25076639427694,0.01,"F2"
"RKHS",5,0.24727323406669,0.01,"F2"
"RKHS",6,0.24372495186112,0.01,"F2"
"RKHS",7,0.246875385547273,0.01,"F2"
"RKHS",8,0.247313309410647,0.01,"F2"
"RKHS",9,0.248134295450902,0.01,"F2"
"RKHS",10,0.252377576722884,0.01,"F2"
